,bikeid,count
1606,16557,1448
1607,16558,891
1608,16560,353
1609,16561,1311
1610,16562,812
1611,16564,919
1612,16565,1161
1613,16566,1134
1614,16567,1271
1615,16568,964
1616,16569,295
1617,16570,1035
1618,16571,1394
1619,16572,1266
1620,16573,1498
1621,16574,1060
1622,16575,1156
1623,16576,1215
1624,16577,1099
1625,16578,1352
1626,16580,1193
1627,16581,1681
1628,16582,862
1629,16583,1111
1630,16584,964
1631,16585,1306
1632,16586,1092
1633,16587,1388
1634,16588,871
1635,16589,1196
1636,16590,1597
1637,16592,1253
1638,16594,1188
1639,16595,1090
1640,16596,989
1641,16597,1105
1642,16599,1334
1643,16600,1163
1644,16601,890
1645,16604,1276
1646,16606,1175
1647,16607,1060
1648,16608,783
1649,16610,223
1650,16611,1486
1651,16612,1211
1652,16613,1269
1653,16614,1226
1654,16615,1243
1655,16616,978
1656,16617,874
1657,16619,1171
1658,16620,1029
1659,16621,750
1660,16623,1277
1661,16624,216
1662,16625,1250
1663,16626,1420
1664,16627,986
1665,16628,1420
1666,16631,985
1667,16632,1445
1668,16635,1057
1669,16636,1025
1670,16637,1160
1671,16638,994
1672,16641,1014
1673,16642,904
1674,16644,1084
1675,16645,1150
1676,16646,1171
1677,16647,959
1678,16648,1209
1679,16649,1093
1680,16651,1532
1681,16652,1003
1682,16653,1211
1683,16654,1083
1684,16657,861
1685,16658,1104
1686,16659,956
1687,16660,1271
1688,16662,1229
1689,16663,1401
1690,16665,1260
1691,16666,1157
1692,16667,1110
1693,16668,1156
1694,16669,1010
1695,16670,1132
1696,16671,1023
1697,16673,864
1698,16674,961
1699,16675,1354
1700,16676,1268
1701,16677,1047
1702,16678,616
1703,16679,1218
1704,16681,1259
1705,16682,1501
1706,16683,1076
1707,16684,1062
1708,16685,1295
1709,16686,1309
